SrcEntity	TgtEntity	Score
http://snomed.info/id/10013000	http://purl.org/sig/ont/fma/fma44631	1.0
http://snomed.info/id/10025002	http://purl.org/sig/ont/fma/fma37498	1.0
http://snomed.info/id/10026001	http://purl.org/sig/ont/fma/fma73953	0.86118525
http://snomed.info/id/10036009	http://purl.org/sig/ont/fma/fma13515	0.95147699
http://snomed.info/id/10056005	http://purl.org/sig/ont/fma/fma52621	1.0
http://snomed.info/id/10124000	http://purl.org/sig/ont/fma/fma21502	1.0
http://snomed.info/id/10141003	http://purl.org/sig/ont/fma/fma52967	1.0
http://snomed.info/id/10200004	http://purl.org/sig/ont/fma/fma7197	1.0
http://snomed.info/id/10208006	http://purl.org/sig/ont/fma/fma16561	1.0
http://snomed.info/id/10209003	http://purl.org/sig/ont/fma/fma61216	1.0
http://snomed.info/id/102287002	http://purl.org/sig/ont/fma/fma322639	1.0
http://snomed.info/id/102288007	http://purl.org/sig/ont/fma/fma33531	0.9576627
http://snomed.info/id/102290008	http://purl.org/sig/ont/fma/fma50248	0.91163713
http://snomed.info/id/10245000	http://purl.org/sig/ont/fma/fma37451	1.0
http://snomed.info/id/1028005	http://purl.org/sig/ont/fma/fma59160	1.0
http://snomed.info/id/10339006	http://purl.org/sig/ont/fma/fma13527	0.88568217
http://snomed.info/id/10410005	http://purl.org/sig/ont/fma/fma59152	1.0
http://snomed.info/id/10415000	http://purl.org/sig/ont/fma/fma58470	1.0
http://snomed.info/id/10417008	http://purl.org/sig/ont/fma/fma16911	1.0
http://snomed.info/id/1055290000	http://purl.org/sig/ont/fma/fma56768	1.0
http://snomed.info/id/1055291001	http://purl.org/sig/ont/fma/fma56767	1.0
http://snomed.info/id/105580009	http://purl.org/sig/ont/fma/fma16204	1.0
http://snomed.info/id/10591007	http://purl.org/sig/ont/fma/fma16511	1.0
http://snomed.info/id/10642009	http://purl.org/sig/ont/fma/fma42815	1.0
http://snomed.info/id/10695007	http://purl.org/sig/ont/fma/fma58362	0.91248858
http://snomed.info/id/10746000	http://purl.org/sig/ont/fma/fma7180	1.0
http://snomed.info/id/10766009	http://purl.org/sig/ont/fma/fma22710	1.0
http://snomed.info/id/10769002	http://purl.org/sig/ont/fma/fma78121	1.0
http://snomed.info/id/10770001	http://purl.org/sig/ont/fma/fma32631	1.0
http://snomed.info/id/10776007	http://purl.org/sig/ont/fma/fma62021	1.0
http://snomed.info/id/10778008	http://purl.org/sig/ont/fma/fma62174	1.0
http://snomed.info/id/1078209008	http://purl.org/sig/ont/fma/fma13495	0.87198174
http://snomed.info/id/1078224004	http://purl.org/sig/ont/fma/fma14121	1.0
http://snomed.info/id/10801009	http://purl.org/sig/ont/fma/fma65216	1.0
http://snomed.info/id/10886002	http://purl.org/sig/ont/fma/fma38558	1.0
http://snomed.info/id/10915005	http://purl.org/sig/ont/fma/fma5910	1.0
http://snomed.info/id/1092001	http://purl.org/sig/ont/fma/fma61901	1.0
http://snomed.info/id/109559009	http://purl.org/sig/ont/fma/fma17528	1.0
http://snomed.info/id/10992007	http://purl.org/sig/ont/fma/fma50990	1.0
http://snomed.info/id/11000004	http://purl.org/sig/ont/fma/fma61833	1.0
http://snomed.info/id/11016002	http://purl.org/sig/ont/fma/fma23894	1.0
http://snomed.info/id/11018001	http://purl.org/sig/ont/fma/fma6281	1.0
http://snomed.info/id/11048003	http://purl.org/sig/ont/fma/fma52827	1.0
http://snomed.info/id/11052003	http://purl.org/sig/ont/fma/fma42881	1.0
http://snomed.info/id/110521002	http://purl.org/sig/ont/fma/fma322610	1.0
http://snomed.info/id/110529000	http://purl.org/sig/ont/fma/fma322611	1.0
http://snomed.info/id/110533007	http://purl.org/sig/ont/fma/fma268676	0.9846679
http://snomed.info/id/110540008	http://purl.org/sig/ont/fma/fma37372	0.97101218
http://snomed.info/id/110581000	http://purl.org/sig/ont/fma/fma56494	1.0
http://snomed.info/id/110582007	http://purl.org/sig/ont/fma/fma56496	1.0
http://snomed.info/id/110583002	http://purl.org/sig/ont/fma/fma56488	1.0
http://snomed.info/id/110603008	http://purl.org/sig/ont/fma/fma63076	0.9253329
http://snomed.info/id/110634007	http://purl.org/sig/ont/fma/fma302824	1.0
http://snomed.info/id/110635008	http://purl.org/sig/ont/fma/fma302826	1.0
http://snomed.info/id/11068009	http://purl.org/sig/ont/fma/fma71174	0.88322443
http://snomed.info/id/110683006	http://purl.org/sig/ont/fma/fma260708	1.0
http://snomed.info/id/110684000	http://purl.org/sig/ont/fma/fma62151	0.94929612
http://snomed.info/id/110695006	http://purl.org/sig/ont/fma/fma75491	1.0
http://snomed.info/id/110696007	http://purl.org/sig/ont/fma/fma67533	1.0
http://snomed.info/id/110699000	http://purl.org/sig/ont/fma/fma77598	0.92225742
http://snomed.info/id/110707001	http://purl.org/sig/ont/fma/fma48977	1.0
http://snomed.info/id/110709003	http://purl.org/sig/ont/fma/fma323406	1.0
http://snomed.info/id/11089000	http://purl.org/sig/ont/fma/fma72495	1.0
http://snomed.info/id/11098002	http://purl.org/sig/ont/fma/fma7364	1.0
http://snomed.info/id/11100002	http://purl.org/sig/ont/fma/fma272318	0.96919894
http://snomed.info/id/1110006	http://purl.org/sig/ont/fma/fma59104	1.0
http://snomed.info/id/111002	http://purl.org/sig/ont/fma/fma13890	0.97960073
http://snomed.info/id/11124005	http://purl.org/sig/ont/fma/fma7233	1.0
http://snomed.info/id/11146002	http://purl.org/sig/ont/fma/fma10071	1.0
http://snomed.info/id/11171004	http://purl.org/sig/ont/fma/fma32620	1.0
http://snomed.info/id/11192004	http://purl.org/sig/ont/fma/fma22350	1.0
http://snomed.info/id/11217004	http://purl.org/sig/ont/fma/fma322939	0.96697241
http://snomed.info/id/1122009	http://purl.org/sig/ont/fma/fma46694	1.0
http://snomed.info/id/11279006	http://purl.org/sig/ont/fma/fma50454	1.0
http://snomed.info/id/11287007	http://purl.org/sig/ont/fma/fma58240	1.0
http://snomed.info/id/113179006	http://purl.org/sig/ont/fma/fma322261	0.94886768
http://snomed.info/id/113183006	http://purl.org/sig/ont/fma/fma322577	0.95080632
http://snomed.info/id/113186003	http://purl.org/sig/ont/fma/fma18085	0.9194296
http://snomed.info/id/113194005	http://purl.org/sig/ont/fma/fma59327	1.0
http://snomed.info/id/113196007	http://purl.org/sig/ont/fma/fma7741	1.0
http://snomed.info/id/113200002	http://purl.org/sig/ont/fma/fma8500	1.0
http://snomed.info/id/113206008	http://purl.org/sig/ont/fma/fma24787	1.0
http://snomed.info/id/113208009	http://purl.org/sig/ont/fma/fma10011	1.0
http://snomed.info/id/113209001	http://purl.org/sig/ont/fma/fma13506	0.91228181
http://snomed.info/id/113211005	http://purl.org/sig/ont/fma/fma10078	1.0
http://snomed.info/id/113215001	http://purl.org/sig/ont/fma/fma16081	1.0
http://snomed.info/id/113216000	http://purl.org/sig/ont/fma/fma16165	1.0
http://snomed.info/id/113217009	http://purl.org/sig/ont/fma/fma16131	1.0
http://snomed.info/id/113220001	http://purl.org/sig/ont/fma/fma16944	1.0
http://snomed.info/id/113223004	http://purl.org/sig/ont/fma/fma23934	1.0
http://snomed.info/id/113224005	http://purl.org/sig/ont/fma/fma33742	0.93297189
http://snomed.info/id/113225006	http://purl.org/sig/ont/fma/fma35502	0.94340217
http://snomed.info/id/113227003	http://purl.org/sig/ont/fma/fma38506	1.0
http://snomed.info/id/113233007	http://purl.org/sig/ont/fma/fma311600	0.97603267
http://snomed.info/id/113241007	http://purl.org/sig/ont/fma/fma76698	1.0
http://snomed.info/id/113243005	http://purl.org/sig/ont/fma/fma21489	1.0
http://snomed.info/id/113249009	http://purl.org/sig/ont/fma/fma59725	1.0
http://snomed.info/id/113250009	http://purl.org/sig/ont/fma/fma7401	0.92820847
http://snomed.info/id/113253006	http://purl.org/sig/ont/fma/fma279814	0.92146075
http://snomed.info/id/11326003	http://purl.org/sig/ont/fma/fma55632	1.0
http://snomed.info/id/113262008	http://purl.org/sig/ont/fma/fma3786	1.0
http://snomed.info/id/113263003	http://purl.org/sig/ont/fma/fma4058	1.0
http://snomed.info/id/113264009	http://purl.org/sig/ont/fma/fma49526	1.0
http://snomed.info/id/113269004	http://purl.org/sig/ont/fma/fma18805	1.0
